assetid,id
DL-UM-15403,24a84127-33ec-5097-a244-1c190cdbb98b
DL-UM-15411,fa59e0b1-6b37-51e9-9aee-f867e4b7ba36
DL-UM-15424,40d4316d-4662-570c-9783-3794d56539a5
DL-UM-15426,c88f5c86-98f6-5ec7-8efc-8ba8862b410e
DL-UM-15713,8b5e79c4-3b26-5545-aa91-f8ee7ac93efa
DL-UM-15714,742c4829-5c12-516b-9a2a-aaf65818d811
DL-UM-15715,cec02e47-aef4-52b0-ac41-064906aa2d65
DL-UM-15717,102db03c-b6ee-59d3-bac0-1152bd3b2fb9
DL-UM-15720,31260a9a-f778-594a-9d4b-879de160046e
DL-UM-15816,f379cb76-2013-5003-ac93-b8480a00737f
DL-UM-16598,54a07104-3973-58d8-b89d-af94dba24251
DL-UM-16815,7c9bcfc1-25ad-50ba-b15a-a9f3ac992773
DL-UM-16817,fda81d0b-735b-50d1-a9ab-7b014affc464
DL-UM-16818,228fcc4f-2a4a-52f6-90c8-2c112fac900d
DL-UM-16821,571968f4-240d-5000-86ed-69451903bf13
DL-UM-16842,e9d0b114-ca9e-59b0-a319-8960c0f416fa
DL-UM-16845,b9d5d671-e32e-539a-8292-061d64291ffc
DL-UM-16847,fa2b9812-b0f8-539e-9eb0-bedad61566dc
DL-UM-16849,0f886572-235b-5d9d-84ef-6a15a7a51417
DL-UM-16850,8b4b6552-bfcb-57bf-be3c-1f1a8177e0cb
DL-UM-16917,92779637-db43-5b54-ade1-967c575408f3
DL-UM-16920,2036e47b-0137-5b56-9aff-06e342a80cf0
DL-UM-16922,28522302-b351-5cc8-a401-e6dd7a43018c
DL-UM-16956,27e89c8f-ef24-5229-bdc3-705883623f64
DL-UM-16958,25775cba-d458-5b6b-a49a-7a8296067e82
DL-UM-16959,7e238bb4-6935-5a1a-a346-49ef2c18ec99
DL-UM-16960,0e1bc7f3-8c63-5f9e-b3be-4f0a27979136
DL-UM-16982,91c021d7-d2ec-507a-8320-c17ba7b2a71e
DL-UM-16984,e49f1704-b0ae-599d-a03c-fbc67990354d
DL-UM-16985,a3b3e961-8b46-58ae-a5f1-f8c0237cded7
DL-UM-17049,aa0f1454-e453-54f0-8f17-28fd817b85df
DL-UM-17052,8575135e-31cd-57ff-a0fc-15013364b08b
DL-UM-17055,e04eb813-5446-50b3-8b90-d4b46338533d
DL-UM-17175,bc21d00a-a96b-572a-bfd4-0430bde8198e
DL-UM-17176,81453310-b31a-5830-8894-f2f544c5e100
DL-UM-17178,816a803f-6dca-5e25-876e-471c4fdd0a97
DL-UM-17179,fef89d00-76fa-5661-af86-ef945046e3ba
DL-UM-17180,f6adfbdf-eebe-5a74-92e8-df427db5b577
DL-UM-17183,48e0e215-a36f-5709-b6e4-b2e2bc6c42bf
DL-UM-17198,16083f70-6076-5ef5-97fc-26ab84fc6005
DL-UM-17207,5c0d827a-9a8e-5398-ab4d-cc4c01c6c415
DL-UM-17208,95fa2490-074f-5d1d-89bb-f99005f74007
DL-UM-17256,70aaef42-3476-5633-8978-ad2d4ccff405
DL-UM-17258,072c1225-1059-5b1d-8198-dc8ccb2478e9
DL-UM-17259,75e73252-5a53-5e4c-a291-e78c7998afcd
DL-UM-17263,68f5d817-1b92-58bc-9263-5d5b3e843e6b
DL-UM-17266,9734cce5-0279-5372-85b3-b90895a0e0ff
DL-UM-17268,9c7f8f16-2945-5b4c-a200-ccbdd36eda73
DL-UM-17269,db458f9b-31d9-5bbf-a058-fa62d6ec4c8f
DL-UM-17270,fb3a7ccf-f513-523f-8182-4d24a94d1099
DL-UM-17272,d5cb7aa6-e839-530d-8f70-a4c3eb147075
DL-UM-17273,39b2938f-aa25-5168-b237-ef72d3911737
DL-UM-17278,d350d130-103f-5702-98ae-51a74b079d50
